,sourceSystem,reportType,type,bscCode,accountCode,accountCode_like
0,'OEBS12_EU',AR,'Trade receivables','BSC130','015210',
1,"'OEBS12_SA', 'ETL document loader', 'OEBS12_EU'",AR,'Other receivables',"'BSC145', 'BSC140'",,
2,"'OEBS12_SA', 'ETL document loader', 'OEBS12_EU'",AR,'Trade receivables',"'BSC135', 'BSC130'",,
3,"'OEBS12_SA', 'SAP_HRG', 'ETL document loader', 'OEBS12_EU'",AP,'Other payables',"'BSC315', 'BSC310'",,
4,"'OEBS12_SA', 'SAP_HRG', 'ETL document loader', 'OEBS12_EU'",AP,'Provisions','BSC330',,
5,"'OEBS12_SA', 'SAP_HRG', 'ETL document loader', 'OEBS12_EU'",AP,'Trade payables',"'BSC305', 'BSC300'",,
6,'SAP ECP',AP,'Other payables',,"'5503010000', '5505020100', '5502000000', '5505010210', '5503020000', '5101010100', '5503030000', '5104040000', '5501010000', '5501000000', '5503030010'",
7,'SAP ECP',AP,'Provisions',,"'2201910008', '2201910000'",
8,'SAP ECP',AP,'Trade payables',,"'5201011110', '5201010200', '5201010110', '5201011100', '5201011200', '5201010100'",
9,'SAP ECP',AR,'Other receivables',,"'2602001000', '2602000008', '2602000009', '2601010009', '2602000010', '2602060100', '2602000000', '2602010000', '2602001008', '2602000090', '2602000018', '2601030000', '2601020009', '2602001018', '2601040000', '2601050009', '2601040008', '2602000019', '2602010009', '2601030008', '2602001010', '2603000000', '2603000100'",
10,'SAP ECP',AR,'Trade receivables',,"'2201010099', '1501010009', '2201011009', '1501010109', '2201020000', '220199XX90', '2201010010', '2201020008', '1501010119', '2201010090', '2201010000', '2201030000', '2201010018', '2201011018', '2201010098', '2201010008', '2201011008', '2201030008', '2201011019', '2201010019', '220109XX10', '2201010190', '2201011010', '1501010019', '2201011000', '2201010009'",
11,'SAP ERP',AP,'Other payables',,"'0033130000', '0033120000', '7610603000', '7610691000', '0033140000', '0033110000', '0033800000', '0033960000', '0033970000', '60%', '7619000000', '0033970100', '7610402000', '0033500000', '7610405000', '0033950000', '7610601000', '7610404000', '7620002000', '0033600000', '7610101000'", '60%'
12,'SAP ERP',AP,'Provisions',,"'63%', '2190000000', '1290000000'", '63%'
13,'SAP ERP',AR,'Other receivables',,"'7610003000', '1282000000', '7625013000', '7615004000', '7629000099', '7610500099', '6001089000', '1284000000', '7622020000', '7629000900', '7699100200', '7625003000', '6001080900', '7610405900', '7621156000', '7699100240', '7629000000', '7622040000', '7629009000', '7618000000', '7630706000', '7630703000', '7620704000', '7618000900', '7620801900', '1251000000', '7622010000', '7699200500', '7630707000', '7620701000', '7620200000', '7625006000', '7625013900', '7699100550', '7625004000', '7615003000', '7610004000', '7625001000', '7699900000', '7620801000', '1284000900', '36307060', '6001080000', '7610405000', '7610406900', '7620200900', '7625001900', '7630702000', '7630705000', '1282000900', '7610406000', '7610500000', '7620703000', '7621155000', '7622030000', '7625007000', '1630000000', '6099000710', '7620701900', '7620702000'",
14,'SAP ERP',AR,'Trade receivables',,"'7621154000', '7621158000', '62%', '2151000000', '2130000000', '2130000900', '2151000900', '2170000900', '7621159000', '1260000000', '2110000000', '2181000900', '2170000000', '2181000000', '1210000900', '1210000000', '2110000900'", '62%'
15,'SAP_HRG',AR,'Other receivables',,"'241020', '247140', '235202', '241012', '241070', '270191', '247122', '235200', '308100', '247124', '243010', '308200', '308202', '241050', '247180', '308112', '270182'",
16,'SAP_HRG',AR,'Trade receivables',,"'204500', '203500', '201000', '999999', '201200', '215004', '291000', '215000'",
