id,CCY,CCY_from,CCY_to
322,USD/RUB,USD,RUB
311,USD/CHF,USD,CHF
312,EUR/USD,EUR,USD
314,USD/CNY,USD,CNY
315,GBP/USD,GBP,USD
318,USD/CAD,USD,CAD
2332,USD/BRL,USD,BRL
2334,USD/INR,USD,INR
2354,USD/AUD,USD,AUD
2360,USD/JPY,USD,JPY
9321,USD/KZT,USD,KZT
9326,USD/PLN,USD,PLN
9331,USD/TRY,USD,TRY
9902,USD/KRW,USD,KRW
10014,USD/TWD,USD,TWD
33051,USD/AED,USD,AED
9926,EUR/CHF,EUR,CHF
9318,USD/BGN,USD,BGN
9886,USD/MDL,USD,MDL
33447,USD/RON,USD,RON
9911,EUR/RSD,EUR,RSD
9908,EUR/HUF,EUR,HUF
2362,USD/SGD,USD,SGD
9329,USD/ZAR,USD,ZAR
